titulo,autor,numero_de_paginas,editorial,precio
El viaje eterno,Carlos Pérez,320,Alfaguara,25.50
Sombras del pasado,Ana Gómez,280,Planeta,19.99
La última frontera,José Martínez,410,Seix Barral,29.00
Caminos cruzados,Lucía Fernández,350,Anagrama,22.75
El guardián secreto,María López,295,Debolsillo,18.40
Horizontes perdidos,Juan Torres,500,Alianza,31.20
Sueños de papel,Laura Sánchez,270,Espasa,20.10
El eco del silencio,Pedro Ramírez,360,Taurus,27.80
La ciudad invisible,Claudia Herrera,410,Norma,24.60
Tiempo de cenizas,Andrés Castro,390,Destino,26.90
El pacto olvidado,Sofía Morales,310,Océano,23.50
Ríos de fuego,Diego Vargas,450,Alfaguara,30.00
El reflejo oculto,Isabel Rojas,280,Planeta,19.20
Sombras en la nieve,Martín Aguilar,340,Seix Barral,25.00
El susurro eterno,Patricia León,370,Anagrama,28.40
La torre de cristal,Roberto Díaz,420,Debolsillo,29.99
El jardín secreto,Carolina Méndez,260,Alianza,18.75
Cielos de hierro,Fernando Ruiz,480,Espasa,32.50
El misterio azul,Beatriz Ortega,310,Taurus,21.90
La senda dorada,Manuel Herrera,400,Norma,27.60
El río de los sueños,Valeria Campos,330,Destino,23.80
Sombras y luces,Daniel Romero,350,Océano,26.20
El canto perdido,Julia Navarro,390,Alfaguara,28.90
La isla prohibida,Esteban Flores,410,Planeta,30.50
El último amanecer,Paula Vega,370,Seix Barral,27.40
